,restaurant,clinic,recreation,store,worship,pharmacy,daycare,supermarket,convenience store,long term care,library,bar,museum,hospital
0,2193335,229729,534570,917432,79756,188187,58258,296212,37127,15256,20321,22149,13600,37679
1,2256969,150779,566027,1080774,95711,178404,40764,324141,33780,13908,18125,26995,12295,20703
2,1711435,100793,442335,871448,162881,141273,42598,334412,28284,11907,12817,16889,8483,18171
3,1559327,255080,489563,736753,69305,176069,57900,277655,31527,15355,22597,12757,11779,44033
4,1639952,250390,494242,731167,73114,176342,60105,265229,32124,15386,25851,14407,13506,44848
5,1695162,250589,510081,760121,121339,177002,65533,268253,33003,15731,26765,16311,13993,44085
6,1826905,255874,528710,791715,80821,182489,63077,269561,34823,16512,26924,17162,15449,44043
7,2151532,232809,549468,882869,81183,187318,59680,284682,38588,15310,20258,23922,14525,40064
8,2192418,151020,560701,993178,96031,173263,39895,297055,33415,12968,16697,27181,13277,20683
9,1708449,104265,447652,839402,155293,135447,43987,319714,29504,11204,12250,17434,10061,17747
10,1658527,255504,529028,773677,81382,177592,62772,278077,33958,16423,28733,15058,13936,43373
11,1593053,237602,493629,711980,77650,165579,57962,247702,32166,15173,25712,14421,13465,40385
12,1720950,244208,535443,771855,88462,173156,62890,263111,34417,16109,27417,16173,14760,41152
13,1917280,263009,570672,828005,84245,180891,64765,268350,35297,16551,28101,18223,15337,44842
14,2303607,245405,593506,968931,95689,192935,63954,304976,38629,17107,20744,26812,15938,42160
15,2710673,172509,667951,1211118,112403,196777,44964,347930,41932,13975,19010,39791,16028,22560
16,1933341,116946,505121,928833,174940,148206,47882,334943,32280,13114,12730,21019,10847,18212
17,1630709,255751,532040,779131,80842,177953,62209,275211,33479,15954,28485,13853,11478,42767
18,1832184,270452,580707,829373,93133,189963,67189,280470,36138,17579,29557,15637,14323,46502
19,1870143,263883,559184,830297,94818,190758,68598,280677,37043,16828,28736,17210,14284,46030
20,1961767,266574,572575,860267,89915,192219,65669,279167,38684,17158,27202,18606,15166,45409
21,2315741,239985,592195,961069,93203,196071,61244,293845,41415,16409,22247,25632,15605,41333
22,2400688,164085,602917,1111867,104977,186855,40532,322996,39610,14142,17577,29508,16150,22168
23,1762061,108726,425519,850300,161780,134399,43175,313948,27225,12417,11145,17712,10443,17912
24,1713987,245856,499922,818818,76610,172166,47412,272309,34864,14835,24991,15172,13512,40553
25,1772402,240499,521446,793839,76969,171837,48736,251519,34847,15573,22887,15261,15410,40453
26,1869887,236812,549918,808143,86368,167951,50795,251362,38986,15803,22498,20813,15863,40100
27,1945697,239126,558471,817993,83032,174021,50329,255387,35599,16513,22941,20738,16831,41376
28,2219261,224701,559973,928548,90838,180846,49181,276789,38006,16860,19542,25827,17399,36922
29,2189065,147743,530175,1032708,99114,166640,35570,312169,33047,12732,16557,27326,15185,20646
30,1734517,104940,424720,869029,154988,135665,39125,330209,27700,11009,11522,18429,10983,16841
31,1559710,235028,493948,744566,72013,169709,54580,272674,31757,15428,25473,13069,12397,39216
32,1735045,250484,552742,772529,90391,178988,62262,264983,35398,16813,29884,15562,15517,43299
33,1772367,245412,567516,791077,94376,175490,62258,263777,35074,16451,27147,16150,14675,44885
34,1830217,251973,529407,786493,83152,177114,60225,268438,33460,16221,26858,17862,15095,44539
35,2178767,228468,581470,917455,93048,182108,58749,283108,38941,16377,19179,22798,15227,40595
36,2367846,163014,678463,1078147,111360,175897,44692,321618,37592,14471,16476,29888,15318,22502
37,1795626,110458,506232,902858,177069,144695,47955,342780,28849,12867,13478,17470,11328,19886
38,1716418,250513,591518,779235,84243,174396,61527,277623,35300,16089,25828,14526,13671,43451
39,1880217,259481,618856,813305,87846,180244,59635,273355,35839,17357,25983,16138,15043,45192
