,other,restaurant,clinic,recreation,store,worship,pharmacy,daycare,supermarket,convenience store,long term care,library,bar,museum,hospital,date
0,2565785,2193335,229729,534570,917432,79756,188187,58258,296212,37127,15256,20321,22149,13600,37679,3/1/2019
1,2512519,2256969,150779,566027,1080774,95711,178404,40764,324141,33780,13908,18125,26995,12295,20703,3/2/2019
2,1939123,1711435,100793,442335,871448,162881,141273,42598,334412,28284,11907,12817,16889,8483,18171,3/3/2019
3,2191183,1559327,255080,489563,736753,69305,176069,57900,277655,31527,15355,22597,12757,11779,44033,3/4/2019
4,2240618,1639952,250390,494242,731167,73114,176342,60105,265229,32124,15386,25851,14407,13506,44848,3/5/2019
5,2328410,1695162,250589,510081,760121,121339,177002,65533,268253,33003,15731,26765,16311,13993,44085,3/6/2019
6,2392624,1826905,255874,528710,791715,80821,182489,63077,269561,34823,16512,26924,17162,15449,44043,3/7/2019
7,2599728,2151532,232809,549468,882869,81183,187318,59680,284682,38588,15310,20258,23922,14525,40064,3/8/2019
8,2433164,2192418,151020,560701,993178,96031,173263,39895,297055,33415,12968,16697,27181,13277,20683,3/9/2019
9,1917123,1708449,104265,447652,839402,155293,135447,43987,319714,29504,11204,12250,17434,10061,17747,3/10/2019
10,2317724,1658527,255504,529028,773677,81382,177592,62772,278077,33958,16423,28733,15058,13936,43373,3/11/2019
11,2188551,1593053,237602,493629,711980,77650,165579,57962,247702,32166,15173,25712,14421,13465,40385,3/12/2019
12,2283017,1720950,244208,535443,771855,88462,173156,62890,263111,34417,16109,27417,16173,14760,41152,3/13/2019
13,2465380,1917280,263009,570672,828005,84245,180891,64765,268350,35297,16551,28101,18223,15337,44842,3/14/2019
14,2737954,2303607,245405,593506,968931,95689,192935,63954,304976,38629,17107,20744,26812,15938,42160,3/15/2019
15,2833599,2710673,172509,667951,1211118,112403,196777,44964,347930,41932,13975,19010,39791,16028,22560,3/16/2019
16,2107064,1933341,116946,505121,928833,174940,148206,47882,334943,32280,13114,12730,21019,10847,18212,3/17/2019
17,2329807,1630709,255751,532040,779131,80842,177953,62209,275211,33479,15954,28485,13853,11478,42767,3/18/2019
18,2491927,1832184,270452,580707,829373,93133,189963,67189,280470,36138,17579,29557,15637,14323,46502,3/19/2019
19,2475073,1870143,263883,559184,830297,94818,190758,68598,280677,37043,16828,28736,17210,14284,46030,3/20/2019
20,2543002,1961767,266574,572575,860267,89915,192219,65669,279167,38684,17158,27202,18606,15166,45409,3/21/2019
21,2756208,2315741,239985,592195,961069,93203,196071,61244,293845,41415,16409,22247,25632,15605,41333,3/22/2019
22,2685327,2400688,164085,602917,1111867,104977,186855,40532,322996,39610,14142,17577,29508,16150,22168,3/23/2019
23,1972189,1762061,108726,425519,850300,161780,134399,43175,313948,27225,12417,11145,17712,10443,17912,3/24/2019
24,2207411,1713987,245856,499922,818818,76610,172166,47412,272309,34864,14835,24991,15172,13512,40553,3/25/2019
25,2233574,1772402,240499,521446,793839,76969,171837,48736,251519,34847,15573,22887,15261,15410,40453,3/26/2019
26,2255733,1869887,236812,549918,808143,86368,167951,50795,251362,38986,15803,22498,20813,15863,40100,3/27/2019
27,2290753,1945697,239126,558471,817993,83032,174021,50329,255387,35599,16513,22941,20738,16831,41376,3/28/2019
28,2517119,2219261,224701,559973,928548,90838,180846,49181,276789,38006,16860,19542,25827,17399,36922,3/29/2019
29,2437427,2189065,147743,530175,1032708,99114,166640,35570,312169,33047,12732,16557,27326,15185,20646,3/30/2019
30,1959271,1734517,104940,424720,869029,154988,135665,39125,330209,27700,11009,11522,18429,10983,16841,3/31/2019
31,2167174,1559710,235028,493948,744566,72013,169709,54580,272674,31757,15428,25473,13069,12397,39216,4/1/2019
32,2320584,1735045,250484,552742,772529,90391,178988,62262,264983,35398,16813,29884,15562,15517,43299,4/2/2019
33,2346709,1772367,245412,567516,791077,94376,175490,62258,263777,35074,16451,27147,16150,14675,44885,4/3/2019
34,2316283,1830217,251973,529407,786493,83152,177114,60225,268438,33460,16221,26858,17862,15095,44539,4/4/2019
35,2578911,2178767,228468,581470,917455,93048,182108,58749,283108,38941,16377,19179,22798,15227,40595,4/5/2019
36,2581698,2367846,163014,678463,1078147,111360,175897,44692,321618,37592,14471,16476,29888,15318,22502,4/6/2019
37,2016272,1795626,110458,506232,902858,177069,144695,47955,342780,28849,12867,13478,17470,11328,19886,4/7/2019
38,2354673,1716418,250513,591518,779235,84243,174396,61527,277623,35300,16089,25828,14526,13671,43451,4/8/2019
39,2413878,1880217,259481,618856,813305,87846,180244,59635,273355,35839,17357,25983,16138,15043,45192,4/9/2019
40,2295683,1763897,248332,532049,774548,95889,171511,61474,274844,33037,16338,26667,16658,14709,44365,4/10/2019
41,2501590,1919383,263488,600346,845401,89488,184807,65868,281235,36566,17983,26437,18992,16270,45407,4/11/2019
42,2715575,2261216,234865,593642,958575,95290,190690,63429,299587,40422,17092,20895,24032,16818,39686,4/12/2019
43,2804185,2536880,175784,742303,1180693,117747,193711,48187,354612,38900,15734,20158,29209,16023,24048,4/13/2019
44,1650697,1509413,105021,416950,694107,182297,122543,46310,308913,25857,12238,10097,15283,8934,19333,4/14/2019
45,2439339,1769809,270573,547952,873708,85043,196988,61310,321677,37220,18113,29350,14516,13684,45960,4/15/2019
46,2528024,1896466,276206,634998,872154,90498,193356,66319,296764,38683,19478,26616,17003,16521,45243,4/16/2019
47,2518237,1938867,267138,653542,896594,100155,194639,66354,301294,38156,17966,27175,18783,15679,44653,4/17/2019
48,2450830,1981740,260184,571014,898334,106490,186070,63166,298486,35786,16808,24840,19063,15556,43712,4/18/2019
49,2830690,2503731,246604,631883,1214697,138870,215531,51462,385550,40751,16182,19923,25571,14739,40217,4/19/2019
50,2822285,2394951,160449,716471,1277072,126457,211316,44383,420539,39620,15347,15849,25815,13028,21278,4/20/2019
51,1661981,1495852,110421,496256,515698,259364,133242,61591,294733,32648,17511,6515,13716,10943,18213,4/21/2019
52,2508104,1861419,277313,640860,886349,89143,200546,62651,293966,39160,17512,27074,16259,13959,45130,4/22/2019
53,2514964,1837544,265445,631006,840508,91291,202676,65616,283106,36731,17685,28963,15722,15680,42887,4/23/2019
54,2583044,1947731,265457,655119,859627,105780,205863,71070,280821,38675,17754,27299,17083,15975,44217,4/24/2019
55,2716492,2046262,273738,670854,888412,96805,208027,68849,282386,39087,17911,28104,18693,16139,43293,4/25/2019
56,3049523,2525830,261398,723935,1039919,120472,227757,72776,322637,44466,19387,22913,25572,19001,41729,4/26/2019
57,2575295,2260068,165471,616930,1018866,124800,191214,44248,338663,35574,15428,17109,27125,15642,21231,4/27/2019
58,2290284,1919137,125516,518899,960353,188679,164814,53740,349769,31684,15165,13329,17828,11628,17884,4/28/2019
59,2400306,1694776,265099,558385,788149,87040,199317,64997,286761,35123,17349,28236,14749,13488,43184,4/29/2019
60,2314847,1685481,248990,522045,748612,81586,184997,60350,261491,35717,16269,25628,14244,13563,40820,4/30/2019
61,2214739,1661630,219655,491768,739762,79594,176773,57432,249859,32397,14762,26284,14982,14022,38613,5/1/2019
62,2153818,1661906,215708,465423,721210,72585,162586,55582,238724,32708,13812,21804,14747,13658,37720,5/2/2019
63,2540230,2144990,211011,562276,895303,85651,179712,57192,271901,37579,15026,20006,21343,16339,35894,5/3/2019
64,2460772,2183241,142815,637929,982827,108041,168628,40313,297899,36128,12502,15178,25326,15085,18938,5/4/2019
65,1971275,1789723,102289,543082,790867,164422,137780,44754,314904,31503,11263,11323,17594,11500,16624,5/5/2019
66,2158745,1562239,230519,519486,733378,76929,170503,56202,268027,30480,14620,23997,13476,12540,39068,5/6/2019
67,2028525,1483959,209488,470875,680184,71316,161803,52207,241339,29106,13577,22071,12287,11604,35747,5/7/2019
68,2314266,1738812,234116,561860,781269,90052,176085,61225,258955,35308,15529,24892,15203,13861,40227,5/8/2019
69,2344010,1801346,232633,532712,810636,82263,181331,59281,260427,34458,15728,22662,16180,14384,40272,5/9/2019
70,2645613,2227811,223318,605997,955109,93983,195769,62079,301504,39413,15944,17485,22225,15928,38548,5/10/2019
71,2550831,2227382,145170,618823,1093502,103039,200516,40208,354631,35259,12869,16728,24321,15131,19342,5/11/2019
72,1960238,1882937,110130,453940,799186,171212,159425,44015,321230,28132,15592,8975,15698,10494,17156,5/12/2019
73,2210336,1589995,234800,552870,747288,82441,170561,59086,269521,32697,15257,23818,14171,12226,40580,5/13/2019
74,2307210,1730589,238187,602673,759451,86049,169412,61607,260466,34750,16122,23467,14234,13218,40118,5/14/2019
75,2342201,1808622,232397,616832,785828,91647,174317,62024,257734,36161,15693,23415,16107,13784,39554,5/15/2019
76,2422582,1880459,246588,607467,813956,90863,178010,64926,264730,37123,16994,22398,16731,14102,41902,5/16/2019
77,2621497,2223287,224956,616008,930220,96353,186775,61173,286949,38470,16894,18399,22074,15482,37475,5/17/2019
78,2559871,2273860,154491,687660,1011971,113101,173193,43168,310093,38426,15313,14397,26978,15577,20016,5/18/2019
79,1922438,1692704,102233,507685,821513,159941,132528,44404,307843,28156,12200,10579,16345,11154,15222,5/19/2019
80,2063615,1516859,221205,518765,713865,72923,159031,53554,254480,30731,14562,22266,13180,10823,35681,5/20/2019
81,2111443,1605319,219897,514981,716451,77485,160526,56553,246165,30932,14560,23259,13938,11657,37328,5/21/2019
82,2244650,1764110,225105,599704,759657,88768,162971,58373,246554,34886,15278,22366,17108,13461,37245,5/22/2019
83,2301509,1846706,227340,597147,789608,85692,165399,57292,252544,34501,14797,20899,16913,12722,36736,5/23/2019
84,2511513,2121729,206856,600926,909373,91919,177540,52458,289040,38078,15158,16432,22916,13170,33598,5/24/2019
85,2414261,2085492,132903,635150,980364,99184,163257,36726,320085,35660,12033,12858,24176,13139,16530,5/25/2019
86,1944386,1701789,105889,540181,798816,147151,128210,38656,298378,28698,11180,6881,19802,11383,14934,5/26/2019
87,1641058,1283791,99701,395349,648501,65135,105172,25808,268453,25325,11327,5668,12767,8870,16716,5/27/2019
88,2108555,1561937,228251,529120,730399,75876,166904,51962,253666,31488,14921,23736,13571,11477,36073,5/28/2019
89,2201266,1758273,228167,589460,780023,86262,166763,53331,248911,35274,15345,23167,15714,13139,37433,5/29/2019
90,2293838,1864945,236911,610484,814043,84444,168308,54609,249311,35542,15850,22249,20515,13987,37020,5/30/2019
91,2482357,2165875,211846,655388,893327,96183,175863,54483,267289,41670,15046,16387,21553,13158,33035,5/31/2019
92,2721249,2408646,159519,734997,1125521,109494,193240,44816,335923,41324,14672,18539,26971,14700,21028,6/1/2019
93,2293107,2026347,116582,634240,956903,177215,156378,48435,351675,35680,13441,12440,18698,11716,18252,6/2/2019
94,2557866,1881995,256646,628500,892288,79769,190235,57328,302955,37212,15902,27189,14858,12621,42289,6/3/2019
95,2709996,2074475,275581,692709,935235,89961,201684,63978,302876,42626,17576,28496,17241,16062,44529,6/4/2019
96,2703895,2146528,268302,723819,938993,96506,195440,64297,296060,41694,16904,27193,19165,16335,44028,6/5/2019
97,2692283,2179575,260907,708134,961935,85387,197146,60783,295710,43392,16769,26291,19844,15364,43199,6/6/2019
98,2843091,2453268,235360,739845,1050228,94243,198939,56922,325865,47812,16783,21098,23620,15154,38039,6/7/2019
99,2714458,2400157,158752,780002,1094101,113574,191508,45406,338905,42662,14527,18326,27154,17392,20385,6/8/2019
100,2186427,1903404,110192,582316,927862,162762,148791,45667,342908,32794,13012,11460,18464,11919,17148,6/9/2019
101,2560102,1960696,263177,688540,933478,81495,195315,58059,313072,40617,16678,29785,16538,14741,41936,6/10/2019
102,2609239,2075911,268336,741303,936437,89973,197097,60147,294660,41786,17888,28341,19153,16147,44810,6/11/2019
103,2468815,1985575,258309,615314,918303,87615,191763,57762,293115,38255,16459,27682,17597,15336,43345,6/12/2019
104,2280046,1838704,241996,612217,823959,83484,168746,54198,255449,34604,16628,23091,18432,14431,40130,6/13/2019
105,2801352,2443486,237423,740533,1060726,97549,208058,56199,320850,45436,16777,21354,26418,16825,39117,6/14/2019
106,2706960,2334925,154586,657615,1181334,109257,209170,42296,372594,38462,13772,16063,28352,16462,20464,6/15/2019
107,2088394,1951053,108686,526228,882758,160939,161795,43390,346905,32152,13290,8830,18943,11695,18179,6/16/2019
108,2429175,1860384,262393,657317,879885,82400,188473,55448,297983,38309,17049,27965,15501,13614,43199,6/17/2019
109,2554453,2028839,265664,736465,895983,87781,192302,59353,288770,42403,17969,27655,17439,15374,43563,6/18/2019
110,2490884,2026428,261014,662346,910090,88728,190115,58069,290310,38805,17456,26803,19277,15975,43374,6/19/2019
111,2621652,2181367,270536,694468,961715,88508,198794,60102,299931,40938,17779,26823,21742,17359,44055,6/20/2019
112,2756603,2434892,238644,727181,1043423,94879,200481,55008,317897,44802,16831,21262,26965,19328,39306,6/21/2019
113,2660802,2355068,157268,748189,1074248,111092,183372,44737,336923,44041,15809,17123,31055,18499,20382,6/22/2019
114,2210844,1959911,119601,588739,917080,171145,150292,47365,344563,33729,14134,10015,20640,13328,18491,6/23/2019
115,2386835,1874403,262847,638630,883567,83936,183819,56627,301369,38044,17589,28309,16118,15161,42221,6/24/2019
116,2424753,1961335,256711,705819,855393,87243,180490,58592,279129,39248,16537,25751,16887,15793,41907,6/25/2019
117,2367103,1965601,249204,698280,856496,89243,175310,58302,277248,40516,16743,26234,18645,16269,41246,6/26/2019
118,2470182,2093574,257260,683503,904974,88923,184071,58446,285281,40459,17653,25773,19878,15818,42188,6/27/2019
119,2734226,2405968,235585,726053,1042818,97964,202437,57581,321790,46194,17429,22292,24503,16774,39088,6/28/2019
120,2595090,2249050,150628,697729,1041127,109102,179175,40522,331351,43861,14076,17168,23616,14947,21522,6/29/2019
121,2146924,1978582,112030,572042,850692,154954,140755,44936,319863,39242,13280,10675,20289,11886,19966,6/30/2019
122,2288333,1868840,248878,600830,885888,68764,184320,47539,299727,38958,15533,24939,15692,12892,40627,7/1/2019
123,2328479,1905989,245415,588300,878056,70677,179655,46753,290399,38578,15419,24713,16232,14233,42004,7/2/2019
124,2533329,2080093,232439,669917,1002678,77834,200614,48295,374956,42171,16588,23426,23073,14256,38239,7/3/2019
125,1833332,1444201,109677,624773,681407,78823,132451,34547,342968,33752,16288,8641,15561,13641,16593,7/4/2019
126,2379955,2030145,181549,583871,963832,71857,178765,37999,289753,38949,13962,18267,22960,13759,31569,7/5/2019
127,2347716,2021723,132412,615216,976397,91713,167404,33547,304375,37797,12133,14125,24859,16364,19564,7/6/2019
128,1953101,1716624,99823,503676,799002,149323,133331,38022,306899,31288,11603,8529,17635,12998,17823,7/7/2019
129,2240214,1795173,247586,608613,840608,74721,180815,50651,291226,37883,15608,26815,14693,13804,41519,7/8/2019
130,2334239,1927212,251508,651399,858484,79756,182766,52407,279187,39770,15956,26264,16031,14943,42654,7/9/2019
131,2339367,1979808,249932,657891,885119,83623,184619,52820,287959,40597,15364,26530,18646,15355,42795,7/10/2019
132,2418419,2056851,249182,662757,910279,80720,185443,54050,282295,76693,16706,26362,19804,14833,42659,7/11/2019
133,2566166,2322175,228776,687054,997621,86062,192625,50576,306835,45404,16279,21406,23443,16633,38492,7/12/2019
134,2522093,2252639,148222,666097,1045858,100993,177903,37824,326275,43303,14322,16069,24106,17163,20320,7/13/2019
135,2040319,1837970,105638,556084,840634,160200,140911,42132,320874,36288,13114,9517,17430,13020,17848,7/14/2019
136,2327351,1860282,254967,615832,873580,78141,181930,52950,298191,40336,15942,27266,15100,13923,42674,7/15/2019
137,2395642,1950098,259126,622380,890089,82552,187036,54717,282659,40515,16701,28481,17080,14620,43785,7/16/2019
138,2392633,2005303,252783,641479,903705,87496,185560,55184,290545,42229,16642,27618,19394,15528,43212,7/17/2019
139,2422065,2040814,259570,626144,904342,85066,184542,52546,278592,41016,16125,23498,19340,15793,43876,7/18/2019
140,2524075,2247046,224047,623578,973075,86661,189041,47522,304280,44075,14921,20067,21551,15599,38408,7/19/2019
141,2514854,2198116,145379,609417,1027681,103131,176086,39911,323488,42028,13476,15277,23446,15332,20296,7/20/2019
142,2093882,1891205,109824,523580,877162,165952,142091,40964,326076,32214,12399,9602,18371,13660,17177,7/21/2019
143,2292374,1835353,252631,611488,860569,76610,180359,49127,293463,37621,15382,27600,15417,14221,41951,7/22/2019
144,2371976,1936926,258258,647453,872252,83700,182152,52653,280050,39828,16325,25808,18535,14775,41895,7/23/2019
145,2351132,1969786,251978,652577,874515,87988,176539,51110,275738,41002,15625,26238,19328,15287,42615,7/24/2019
146,2384213,2053844,249447,654816,899678,82536,182436,51323,274800,40872,15468,24835,20256,15264,40975,7/25/2019
147,2533528,2255473,221967,639199,994617,86147,186478,50291,305521,44742,15708,19303,22917,14412,37455,7/26/2019
148,2457746,2175165,142091,627305,1011172,101647,170962,38512,318510,43448,13222,14691,23723,14496,19608,7/27/2019
149,2014584,1817873,103430,527794,838822,158279,136030,40812,312383,34409,11865,8676,16830,12139,16707,7/28/2019
150,2213049,1768995,252590,556352,853520,73593,176350,48627,282886,35823,15449,24370,14876,12106,39963,7/29/2019
151,2299610,1885071,256342,622540,858143,76959,180243,49182,269609,38476,15487,26676,16247,14259,41239,7/30/2019
152,2342956,1980303,247107,613146,895104,79437,180166,49673,276137,40622,15094,24760,20143,15085,41319,7/31/2019
153,2470058,2187155,256810,638996,961643,77085,193104,49869,296857,44596,15434,24483,23531,15733,40508,8/1/2019
154,2660638,2419536,228894,643719,1066633,81162,200790,49287,322592,47509,14663,20376,26191,16035,37770,8/2/2019
155,2634633,2331137,144863,633589,1116219,100473,184884,35201,338565,44247,13091,15919,30266,16332,19700,8/3/2019
156,2124119,1900197,102147,519399,924780,154782,143374,37615,345508,36847,11522,9262,21737,12752,17003,8/4/2019
157,2347931,1945949,261786,601589,927741,71060,192872,47366,305466,41145,15882,26035,16443,14006,40898,8/5/2019
158,2445063,2031231,268245,636907,949144,75575,194904,49877,294057,42556,16664,27335,17311,15394,41792,8/6/2019
159,2452957,2095351,264005,654767,972653,83138,192877,52719,297958,42141,15894,25546,20484,15341,43401,8/7/2019
160,2495373,2160425,264071,648872,986362,81551,195348,52271,298498,43206,16058,23731,20707,14613,40939,8/8/2019
161,2761337,2445823,236072,671533,1104651,87792,208269,52789,331585,48874,16273,20932,24874,16484,38970,8/9/2019
162,2685294,2364504,151517,682688,1145915,114243,190128,37585,355981,43764,15935,14979,25326,19634,20178,8/10/2019
163,2203721,1952718,109339,556741,989289,166643,154538,42265,347503,36161,12681,9907,19743,14366,17525,8/11/2019
164,2420392,1938257,273378,583873,984128,72543,198106,51147,304184,39108,15782,25973,16085,13022,41609,8/12/2019
165,2581901,2087320,274113,637457,1031572,79484,205442,56479,305998,42275,17227,26699,17582,14287,42788,8/13/2019
166,2564790,2072900,264765,638084,999863,89366,198003,57043,297758,40764,16707,25930,20107,14346,43008,8/14/2019
167,2612263,2128713,266287,652689,995259,93354,199453,58710,298864,42049,16199,23990,19292,14535,42454,8/15/2019
168,2823417,2482854,247733,678596,1105610,93026,208218,58310,327846,48090,17241,19712,24582,16145,39619,8/16/2019
169,2764878,2457991,165256,714498,1234936,110048,197545,44077,361632,42148,14403,16783,28543,16439,20686,8/17/2019
170,2220906,1945619,110985,549995,1050599,172934,156662,45640,366480,33896,12863,10471,17120,12235,17319,8/18/2019
171,2593374,1925562,267433,623628,956041,86187,203503,61065,311522,41875,17448,26652,15314,14000,41998,8/19/2019
172,2591471,1952394,270707,599668,935140,87475,198717,63503,301992,40582,17619,25976,17409,14003,44406,8/20/2019
173,2627435,2030173,264128,627434,937075,93811,194555,64666,298064,42413,16960,25062,18322,15455,43221,8/21/2019
174,2700836,2118112,265468,650063,945023,95029,198297,66354,300400,43558,17261,25001,19253,15161,41816,8/22/2019
175,2926458,2480813,244860,665556,1051332,101634,203910,65527,320016,47348,17601,20399,25164,17047,38456,8/23/2019
176,2822316,2561956,167651,749297,1186124,119969,197745,47670,361994,47255,14408,18668,29157,18113,21649,8/24/2019
177,2262037,2022955,117754,593594,1007521,188273,157610,49876,375794,37934,13825,12436,18049,13699,18188,8/25/2019
178,2483292,1768893,268948,548039,858772,84736,192503,65559,306526,37302,16647,30188,14264,14389,42756,8/26/2019
179,2696528,1995670,274224,660430,912585,96460,201081,70764,305688,42902,18902,30724,17754,16754,44134,8/27/2019
180,2680579,2003124,269860,656456,904832,100885,194764,72239,294141,42721,18080,31638,17351,18990,44606,8/28/2019
181,2786458,2123621,271718,656049,920531,97521,201949,70798,300936,45271,18847,28086,18072,19335,43257,8/29/2019
182,3081081,2575142,250328,681379,1085597,106266,218907,67979,339392,49752,18465,23960,24145,17376,39148,8/30/2019
183,2763849,2494172,156401,690954,1187226,108804,197376,40809,369461,44528,14157,18201,26750,17988,20642,8/31/2019
184,2144122,1964234,109161,550824,970631,152118,144525,40199,342101,34635,11130,8846,20558,16064,16890,9/1/2019
185,2021283,1657859,111710,494979,875312,67919,132392,28345,344856,33171,12261,5825,15538,11179,18565,9/2/2019
186,2504549,1842251,279557,587588,860050,88362,196151,67240,305423,39342,16740,28675,15817,15133,43254,9/3/2019
187,2577085,1955465,279682,630283,898453,99512,195629,71056,302720,40018,17018,29557,17764,15501,45413,9/4/2019
188,2619537,2021026,277647,621123,891739,94453,194215,69891,302126,42440,17855,26387,20153,16034,43158,9/5/2019
189,2900619,2453867,264803,656879,1030035,104041,202202,67301,309972,46734,17473,23278,22795,16485,42485,9/6/2019
190,2914663,2674709,190838,797108,1234960,126070,205954,50257,375545,48501,15387,21139,30130,16274,22523,9/7/2019
191,2246530,1999315,123709,569840,1029236,191403,160005,51252,393002,34591,14293,14025,17974,10629,19621,9/8/2019
192,2532442,1856730,289837,618903,874925,98474,193102,68788,318074,40322,17719,30045,15956,14746,46438,9/9/2019
193,2616740,1970873,289547,653598,873834,102868,192781,71465,307404,42244,19051,29737,16919,15600,46418,9/10/2019
194,2678232,2065754,291625,679572,913123,116861,199386,74056,308649,44677,18573,32348,17774,16939,47044,9/11/2019
195,2731085,2152716,295400,677335,930107,106086,200316,72462,307742,44644,18441,29213,18978,17037,46311,9/12/2019
196,3028502,2604604,268836,696927,1071100,114616,209869,71212,334617,49286,18485,24188,26271,16533,44602,9/13/2019
197,3028331,2750598,184673,802901,1240570,131419,207765,50151,372942,48422,15938,18989,32584,17004,23929,9/14/2019
198,2275309,2045599,129827,598318,1001016,197022,161179,55188,388772,36939,14933,15231,19070,11505,20378,9/15/2019
199,2577355,1900581,288894,644438,887851,98648,191382,70699,318648,42412,17588,32210,17026,16169,45341,9/16/2019
200,2629266,1984965,289382,662142,889133,106244,192912,71619,306902,41524,18747,32491,17147,16618,46476,9/17/2019
201,2697127,2099936,293197,681102,917034,117548,196301,75276,307014,43305,18535,32341,20100,17733,48063,9/18/2019
202,2710480,2130225,283775,671351,921878,108636,195702,72344,298861,42938,17556,30012,19184,17093,45015,9/19/2019
203,3002705,2605720,266264,707906,1060884,108230,204527,71339,321186,48087,17245,22348,25428,17086,42014,9/20/2019
204,2866833,2628721,177210,757199,1209373,127707,200266,47353,363336,43412,15018,19941,29679,17685,21984,9/21/2019
205,2224533,1990005,126138,533484,993612,188712,151344,53323,379256,34108,13497,14285,22868,11242,18725,9/22/2019
206,2543417,1877148,279975,627757,869074,96004,187151,67730,315695,40430,16831,30578,17530,14965,43521,9/23/2019
207,2567797,1935596,283423,643292,858341,99836,187124,69939,290999,40151,17520,30700,17007,16531,44479,9/24/2019
208,2538450,1957763,271838,631265,857569,106683,190476,69802,284678,41276,17155,30386,18124,16227,43921,9/25/2019
209,2548947,1996877,266140,637522,867809,94807,189088,67321,282246,40543,16835,27620,18139,14873,42711,9/26/2019
210,2614178,2272185,239019,573759,910077,93910,190254,63892,295518,43128,16081,20412,22907,15420,39522,9/27/2019
211,2757196,2484934,161886,636157,1197674,108489,203028,42775,356798,40580,13266,18311,26889,15099,19927,9/28/2019
212,2113812,1843956,113585,487382,936917,171124,153354,46264,356125,31464,11815,12734,19174,11259,16896,9/29/2019
213,2383027,1764541,262245,564945,816785,88824,190353,61574,290529,40782,15798,29505,15256,13554,41159,9/30/2019
